
userId	movieId	tag	timestamp
2	60756	funny	1445714994
2	60756	Highly quotable	1445714996
2	60756	will ferrell	1445714992
2	89774	Boxing story	1445715207
2	89774	MMA	1445715200
2	89774	Tom Hardy	1445715205
2	106782	drugs	1445715054
2	106782	Leonardo DiCaprio	1445715051
2	106782	Martin Scorsese	1445715056
7	48516	way too long	1169687325
18	431	Al Pacino	1462138765
18	431	gangster	1462138749
18	431	mafia	1462138755
18	1221	Al Pacino	1461699306
18	1221	Mafia	1461699303
18	5995	holocaust	1455735472
18	5995	true story	1455735479
18	44665	twist ending	1456948283
18	52604	Anthony Hopkins	1457650696
18	52604	courtroom drama	1457650711
18	52604	twist ending	1457650682
18	88094	britpop	1457444500
18	88094	indie record label	1457444592
18	88094	music	1457444609
18	144210	dumpster diving	1455060381
18	144210	Sustainability	1455060452
21	1569	romantic comedy	1419805413
21	1569	wedding	1419805419
21	118985	painter	1419805477
21	119141	bloody	1419793962
49	109487	black hole	1493093306
49	109487	sci-fi	1493093332
49	109487	time-travel	1493093356
62	2	fantasy	1528843929
62	2	magic board game	1528843932
62	2	Robin Williams	1528843907
62	110	beautiful scenery	1528152541
62	110	epic	1528152532
62	110	historical	1528152523
62	110	inspirational	1528152527
62	110	Medieval	1528152528
62	110	mel gibson	1528152521
62	110	Oscar (Best Cinematography)	1528152539
62	110	revenge	1528152531
62	110	sword fight	1528152535
62	410	black comedy	1525636607
62	410	Christina Ricci	1525636685
62	410	Christopher Lloyd	1525636622
62	410	dark comedy	1525636610
62	410	family	1525636708
62	410	gothic	1525636609
62	2023	Al Pacino	1525636728
62	2023	Andy Garcia	1525636768
62	2023	Classic	1525636752
62	2023	Francis Ford Coppola	1525636752
62	2023	mafia	1525636733
62	2124	black comedy	1525636847
62	2124	Christina Ricci	1525636867
62	2124	Christopher Lloyd	1525636859
62	2124	Family	1525636855
62	2124	gothic	1525636849
62	2124	quirky	1525636846
62	2953	family	1525636883
62	2953	funny	1525636885
62	2953	Macaulay Culkin	1525636890
62	2953	sequel	1525636887
62	3114	animation	1525636903
62	3114	Disney	1525636902
62	3114	funny	1525636913
62	3114	original	1525636917
62	3114	Pixar	1525636901
62	3114	sequel	1525636910
62	3114	Tom Hanks	1525636925
62	3578	ancient Rome	1528152504
62	3578	Epic	1528152469
62	3578	history	1528152467
62	3578	imdb top 250	1528152498
62	3578	revenge	1528152496
62	3578	Rome	1528152463
62	3578	Russell Crowe	1528152465
62	4223	Ed Harris	1528024869
62	4223	Jude Law	1528024854
62	4223	Rachel Weisz	1528024873
62	4223	sniper	1528024852
62	4223	World War II	1528024877
62	5388	Al Pacino	1530310809
62	5388	atmospheric	1530310959
62	5388	Hilary Swank	1530310952
62	5388	Robin Williams	1530310811
62	6058	sequel	1525555053
62	6058	violent	1525555051
62	6534	dogs	1525554096
62	6534	Eric Bana	1525554086
62	6534	mad scientist	1525554098
62	6534	marvel	1525554100
62	6541	captain nemo	1525554054
62	6541	comic book	1525554028
62	6541	gothic	1525554056
62	6541	Peta Wilson	1525554040
62	6541	Sean Connery	1525554026
62	6541	superhero	1525554051
62	6564	adventure	1525554439
62	6564	Angelina Jolie	1525554432
62	6564	heroine in tight suit	1525554441
62	7153	Adventure	1528152558
62	7153	ensemble cast	1528152578
62	7153	fantasy	1528152556
62	7153	fantasy world	1528152571
62	7153	great soundtrack	1528152575
62	7153	lord of the rings	1528152581
62	7153	scenic	1528152580
62	7153	stylized	1528152577
62	7153	Tolkien	1528152561
62	8641	hilarious	1526249138
62	8641	Steve Carell	1526249156
62	8641	Will Ferrell	1526249135
62	27660	animation	1525554490
62	27660	anime	1525554488
62	27660	cyberpunk	1525554486
62	27660	dark	1525554500
62	27660	Matrix	1525554493
62	27660	sci-fi	1525554491
62	27706	dark comedy	1526248598
62	27706	Jim Carrey	1526248575
62	27706	meryl streep	1526248580
62	27706	quirky	1526248553
62	27706	stylized	1526248601
62	27808	Adam Sandler	1525554900
62	27808	family	1525554919
62	27808	sweet	1525554922
62	27831	British gangster	1532723304
62	27831	confusing	1532723364
62	27831	daniel craig	1532723305
62	27831	Exquisite plotting.	1532723355
62	27831	organized crime	1532723369
62	27831	stylish	1532723356
62	27831	Tom Hardy	1532723359
62	31658	anime	1525869041
62	31658	fantasy world	1525869051
62	31658	Hayao Miyazaki	1525869046
62	31658	Studio Ghibli	1525869044
62	33162	David Thewlis	1525554605
62	33162	Eva Green	1525554550
62	33162	Liam Neeson	1525554577
62	33162	Orlando Bloom	1525554511
62	34150	Chris Evans	1525554141
62	34150	comic book	1525554003
62	34150	heroine in tight suit	1525554138
62	34150	Jessica Alba	1525554127
62	34150	sexy female scientist	1525554144
62	34150	superhero	1525553977
62	37729	gothic	1530310527
62	37729	helena bonham carter	1530310534
62	37729	Johnny Depp	1530310529
62	37729	Tim Burton	1530310526
62	37729	visually appealing	1530310541
62	38061	black comedy	1532723380
62	38061	clever	1532723403
62	38061	fast-paced dialogue	1532723406
62	38061	good dialogue	1532723428
62	38061	Robert Downey Jr.	1532723408
62	38061	witty	1532723402
62	45447	adventure	1525637064
62	45447	Audrey Tautou	1525637075
62	45447	conspiracy theory	1525637062
62	45447	Mystery	1525637081
62	45447	Paris	1525637079
62	45447	Tom Hanks	1525637067
62	45447	treasure hunt	1525637084
62	46723	Brad Pitt	1525554217
62	46723	cate blanchett	1525554227
62	46723	multiple storylines	1525554215
62	46723	social commentary	1525554246
62	46972	Ben Stiller	1525554254
62	46972	Robin Williams	1525554255
62	46976	emma thompson	1536874692
62	46976	Maggie Gyllenhaal	1536874655
62	46976	modern fantasy	1536874658
62	46976	romance	1536874651
62	46976	surreal	1536874662
62	46976	Will Ferrell	1536874653
62	49130	Marion Cotillard	1526582371
62	49530	Africa	1536874706
62	49530	corruption	1536874704
62	49530	Jennifer Connelly	1536874701
62	49530	justice	1536874709
62	49530	Leonardo DiCaprio	1536874698
62	53464	bad acting	1525554797
62	53464	bad jokes	1525554811
62	53464	bad plot	1525554822
62	53464	Chris Evans	1525554807
62	53464	Jessica Alba	1525554794
62	53464	Marvel	1525554792
62	53464	sexy female scientist	1525554813
62	58047	Rachel Weisz	1528909364
62	58047	Ryan Reynolds	1528909347
62	59501	fantasy	1525637507
62	59501	lion	1525637517
62	59501	narnia	1525637508
62	59501	Tilda Swinton	1525637603
62	60074	bad script	1525554116
62	60074	Charlize Theron	1525554121
62	60074	Will Smith	1525554107
62	60126	Anne Hathaway	1527004240
62	60126	Steve Carell	1527004238
62	60756	comedy	1528934384
62	60756	funny	1528934381
62	60756	will ferrell	1528934379
62	61024	comedy	1528934218
62	61024	James Franco	1528934214
62	61024	Seth Rogen	1528934216
62	61024	Stoner Movie	1528934219
62	63992	audience intelligence underestimated	1528934237
62	63992	boring	1528934241
62	63992	chick flick	1528934247
62	63992	overrated	1528934240
62	63992	Teen movie	1528934233
62	68848	Adrien Brody	1527274305
62	68848	con artists	1527274320
62	68848	funny	1527274322
 
